"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1972,1,0,0,3.54,0.367408507265661,59.1,10.8,0,1,1,0.6,0.113613649879079,4.89688238322697,0.634520652282831,20.633682055092,3.0041,29.2827987404809,58.1008156948045
1972,2,0,0,4.04,0.409352487984114,38.1,18.7,0,1,1,0.6,0.0925850250880524,4.86690624366051,0.632195937655895,20.6325028661959,3.0041,29.2282900726004,58.1553243626849
1972,3,0,0,6.42,0.644115332764782,42.6,42.7,0,1,1,0.6,0.0670923310493855,4.82010994029618,0.627903657868374,20.6297870475094,3.0041,29.1489929767234,58.234621458562
1972,4,0,0,8.03,0.834480002892466,48.5,93.3,0,0.831483452828763,1,0.6,0.0474246240729368,4.77020314613016,0.622623097497307,20.6259648933159,3.0041,29.0703157610163,58.3132986742691
1972,5,0,0,10.58,1.18301392854732,39.9,125.7,0,0.2,1,0.6,0.0421333755981593,4.75330350234808,0.62068683751315,20.6244969178926,3.0041,29.044720633352,58.3388938019333
1972,6,0,0,11.96,1.39289560885042,27.3,128.4,0,0.2,1,0.6,0.0366550289796165,4.73348237759873,0.618351264237462,20.622678106828,3.0041,29.0152667776439,58.3683476576415
1972,7,0,0,15.32,1.95459708383345,67.5,137.6,0,0.296686070626601,1,0.6,0.0274289704644466,4.69248661824324,0.613360152845022,20.6186224362342,3.0041,28.9559981777869,58.4276162574984
1972,8,2.4313,0,14.97,1.89320722410776,15.2,110,0,0.2,1,0.6,1.45756362447243,5.66234503805063,0.60999921277156,20.6158123362396,3.0041,31.3498202115342,58.4650942237511
1972,9,0,0,11.38,1.30301987427943,35.7,67.2,0,1,0,1,0.492094944840832,5.48086331195006,0.680175449214968,20.7029936824586,3.0041,30.3602273884645,59.4546870468208
1972,10,0,0,10.13,1.11763299235227,21.8,34.3,0,1,0,1,0.193893850749906,5.32984310972145,0.687734548520738,20.7209429173784,3.0041,29.9365144263705,59.8784000089148
1972,11,0,0,5.99,0.597482349147767,51.7,15.4,0,1,1,0.6,0.143821029177429,5.28228921489086,0.685547692185814,20.7217614022682,3.0041,29.8375193385223,59.977395096763
1972,12,0,0,5.41,0.537491111456246,46.3,5.1,0,1,1,0.6,0.109927836416445,5.23987268096061,0.682555997217271,20.72126322527,3.0041,29.7577197398643,60.057194695421
1973,1,0,0,4.14,0.418052423080264,20,6.5,0,1,0,1,0.0775906630708113,5.18539432518374,0.677674265742534,20.7193130228397,3.0041,29.6640722768368,60.1508421584485
1973,2,0,0,3.83,0.391419959832174,18.5,14.2,0,1,0,1,0.0559950782700201,5.13490011268098,0.672350948670311,20.7164949613524,3.0041,29.5838411009737,60.2310733343116
1973,3,0,0,5.53,0.549626325207997,11.1,37.8,0,0.990324854572463,0,1,0.0355760724616861,5.06549911942487,0.664217166412007,20.7114400374504,3.0041,29.4808323957489,60.3340820395364
