"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"239",2039,11,100,6.75,54.73,0.69,0,0,1,1.44
"240",2039,12,100,3.83,67.75,0.5,0,0,1,1.44
"241",2040,1,100,2.88,54.82,0.57,0,0,1,1.44
"242",2040,2,100,3.05,46.74,0.83,0,0,1,1.44
"243",2040,3,100,6,48.39,1.73,0,0,1,1.44
"244",2040,4,100,9.8,36.47,3.03,0,0,1,1.44
"245",2040,5,100,13.16,62.3,3.82,0,0,1,1.44
"246",2040,6,100,16.29,56.5,4.44,0,0,1,1.44
"247",2040,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"248",2040,8,100,17.18,76.22,3.49,0,0,1,1.44
"249",2040,9,100,14.43,45.91,2.34,0,0,1,1.44
"250",2040,10,100,11.08,58.98,1.25,0,0,1,1.44
"251",2040,11,100,6.75,54.73,0.69,0,0,1,1.44
"252",2040,12,100,3.83,67.75,0.5,0,0,1,1.44
"253",2041,1,100,2.88,54.82,0.57,0,0,1,1.44
"254",2041,2,100,3.05,46.74,0.83,0,0,1,1.44
"255",2041,3,100,6,48.39,1.73,1.12,0,1,1.44
"256",2041,4,100,9.8,36.47,3.03,0,0,1,1.44
"257",2041,5,100,13.16,62.3,3.82,0,0,1,1.44
"258",2041,6,100,16.29,86.5,4.44,0,0,1,1.44
"259",2041,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"260",2041,8,100,17.18,106.22,3.49,0,0,1,1.44
"261",2041,9,100,14.43,45.91,2.34,0,0,1,1.44
"262",2041,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"263",2041,11,100,6.75,54.73,0.69,0,0,1,1.44
"264",2041,12,100,3.83,67.75,0.5,0,0,1,1.44
"265",2042,1,100,2.88,54.82,0.57,0,0,1,1.44
"266",2042,2,100,3.05,46.74,0.83,0,0,1,1.44
"267",2042,3,100,6,48.39,1.73,0,0,1,1.44
"268",2042,4,100,9.8,36.47,3.03,0,0,1,1.44
"269",2042,5,100,13.16,62.3,3.82,0,0,1,1.44
"270",2042,6,100,16.29,56.5,4.44,0,0,1,1.44
"271",2042,7,100,18.28,66.59,4.65,0,0,1,1.44
"272",2042,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"273",2042,9,100,14.43,45.91,2.34,0,0,0,1.44
"274",2042,10,100,11.08,58.98,1.25,0,0,1,1.44
"275",2042,11,100,6.75,54.73,0.69,0,0,1,1.44
"276",2042,12,100,3.83,67.75,0.5,0,0,1,1.44
"277",2043,1,100,2.88,54.82,0.57,0,0,1,1.44
"278",2043,2,100,3.05,46.74,0.83,0,0,1,1.44
"279",2043,3,100,6,48.39,1.73,0,0,1,1.44
"280",2043,4,100,9.8,36.47,3.03,0,0,1,1.44
"281",2043,5,100,13.16,62.3,3.82,0,0,1,1.44
"282",2043,6,100,16.29,56.5,4.44,0,0,1,1.44
"283",2043,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"284",2043,8,100,17.18,76.22,3.49,0,0,1,1.44
"285",2043,9,100,14.43,45.91,2.34,0,0,1,1.44
"286",2043,10,100,11.08,58.98,1.25,0,0,1,1.44
"287",2043,11,100,6.75,54.73,0.69,0,0,1,1.44
"288",2043,12,100,3.83,67.75,0.5,0,0,1,1.44
"289",2044,1,100,2.88,54.82,0.57,0,0,1,1.44
"290",2044,2,100,3.05,46.74,0.83,0,0,1,1.44
"291",2044,3,100,6,48.39,1.73,1.12,0,1,1.44
"292",2044,4,100,9.8,36.47,3.03,0,0,1,1.44
"293",2044,5,100,13.16,62.3,3.82,0,0,1,1.44
"294",2044,6,100,16.29,86.5,4.44,0,0,1,1.44
"295",2044,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"296",2044,8,100,17.18,106.22,3.49,0,0,1,1.44
"297",2044,9,100,14.43,45.91,2.34,0,0,1,1.44
"298",2044,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"299",2044,11,100,6.75,54.73,0.69,0,0,1,1.44
"300",2044,12,100,3.83,67.75,0.5,0,0,1,1.44
"301",2045,1,100,2.88,54.82,0.57,0,0,1,1.44
"302",2045,2,100,3.05,46.74,0.83,0,0,1,1.44
"303",2045,3,100,6,48.39,1.73,0,0,1,1.44
"304",2045,4,100,9.8,36.47,3.03,0,0,1,1.44
"305",2045,5,100,13.16,62.3,3.82,0,0,1,1.44
"306",2045,6,100,16.29,56.5,4.44,0,0,1,1.44
"307",2045,7,100,18.28,66.59,4.65,0,0,1,1.44
"308",2045,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"309",2045,9,100,14.43,45.91,2.34,0,0,0,1.44
"310",2045,10,100,11.08,58.98,1.25,0,0,1,1.44
"311",2045,11,100,6.75,54.73,0.69,0,0,1,1.44
"312",2045,12,100,3.83,67.75,0.5,0,0,1,1.44
"313",2046,1,100,2.88,54.82,0.57,0,0,1,1.44
"314",2046,2,100,3.05,46.74,0.83,0,0,1,1.44
"315",2046,3,100,6,48.39,1.73,0,0,1,1.44
"316",2046,4,100,9.8,36.47,3.03,0,0,1,1.44
"317",2046,5,100,13.16,62.3,3.82,0,0,1,1.44
"318",2046,6,100,16.29,56.5,4.44,0,0,1,1.44
"319",2046,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"320",2046,8,100,17.18,76.22,3.49,0,0,1,1.44
"321",2046,9,100,14.43,45.91,2.34,0,0,1,1.44
"322",2046,10,100,11.08,58.98,1.25,0,0,1,1.44
"323",2046,11,100,6.75,54.73,0.69,0,0,1,1.44
"324",2046,12,100,3.83,67.75,0.5,0,0,1,1.44
"325",2047,1,100,2.88,54.82,0.57,0,0,1,1.44
"326",2047,2,100,3.05,46.74,0.83,0,0,1,1.44
"327",2047,3,100,6,48.39,1.73,1.12,0,1,1.44
"328",2047,4,100,9.8,36.47,3.03,0,0,1,1.44
"329",2047,5,100,13.16,62.3,3.82,0,0,1,1.44
"330",2047,6,100,16.29,86.5,4.44,0,0,1,1.44
"331",2047,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"332",2047,8,100,17.18,106.22,3.49,0,0,1,1.44
"333",2047,9,100,14.43,45.91,2.34,0,0,1,1.44
